id,activity,application,application_id,attachments,attachments.0.content_scan_version,attachments.0.content_type,attachments.0.filename,attachments.0.height,attachments.0.id,attachments.0.proxy_url,attachments.0.size,attachments.0.url,attachments.0.width,author.accent_color,author.avatar,author.avatar_decoration_data,author.banner,author.banner_color,author.clan,author.collectibles,author.discriminator,author.display_name_styles,author.flags,author.global_name,author.id,author.primary_guild,author.public_flags,author.username,call,channel_id,components,content,date,edited_timestamp,embeds,embeds.0.color,embeds.0.content_scan_version,embeds.0.description,embeds.0.provider.name,embeds.0.provider.url,embeds.0.reference_id,embeds.0.thumbnail.content_type,embeds.0.thumbnail.flags,embeds.0.thumbnail.height,embeds.0.thumbnail.placeholder,embeds.0.thumbnail.placeholder_version,embeds.0.thumbnail.proxy_url,embeds.0.thumbnail.url,embeds.0.thumbnail.width,embeds.0.title,embeds.0.type,embeds.0.url,embeds.0.video.flags,embeds.0.video.height,embeds.0.video.placeholder,embeds.0.video.placeholder_version,embeds.0.video.proxy_url,embeds.0.video.url,embeds.0.video.width,flags,interaction,mention_channels,mention_everyone,mentions,mentions.0.accent_color,mentions.0.avatar,mentions.0.avatar_decoration_data,mentions.0.avatar_decoration_data.asset,mentions.0.avatar_decoration_data.expires_at,mentions.0.avatar_decoration_data.sku_id,mentions.0.banner,mentions.0.banner_color,mentions.0.clan,mentions.0.clan.badge,mentions.0.clan.identity_enabled,mentions.0.clan.identity_guild_id,mentions.0.clan.tag,mentions.0.collectibles,mentions.0.collectibles.nameplate.asset,mentions.0.collectibles.nameplate.label,mentions.0.collectibles.nameplate.palette,mentions.0.collectibles.nameplate.sku_id,mentions.0.discriminator,mentions.0.display_name_styles,mentions.0.display_name_styles.colors.0,mentions.0.display_name_styles.colors.1,mentions.0.display_name_styles.effect_id,mentions.0.display_name_styles.font_id,mentions.0.flags,mentions.0.global_name,mentions.0.id,mentions.0.primary_guild,mentions.0.primary_guild.badge,mentions.0.primary_guild.identity_enabled,mentions.0.primary_guild.identity_guild_id,mentions.0.primary_guild.tag,mentions.0.public_flags,mentions.0.username,message_reference,message_reference.channel_id,message_reference.guild_id,message_reference.message_id,message_reference.type,nonce,pinned,position,reactions,referenced_message,resolved,role_subscription_data,sticker_items,stickers,thread,timestamp,tts,type,userName,webhook_id
1411775427193864194,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,thats my goat,2025-08-31T18:11:31.362Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,252221ba40b17d2738ffb81c10adea53,,,,,,,,7600b86583eceb147a519dcf448a80e8,true,95625180205813760,CFOP,,,,,,0,,,,,,256,Ender,842895971033284609,,7600b86583eceb147a519dcf448a80e8,true,95625180205813760,CFOP,256,firstnt,,474583324396879884,474583323340046337,1411775221295354029,0,,false,,,,,,,,,2025-08-31T18:11:31.362000+00:00,false,19,danii,
1411773496136302734,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,💍,2025-08-31T18:03:50.962Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,a_ce05e89ba248576351543676d71149fe,,a_3c97a2d37f433a7913a1c7b7a735d000,,1144308439720394944,,,,,,,,,nameplates/nameplates/vengeance/,COLLECTIBLES_NAMEPLATES_VENGEANCE_A11Y,violet,1349849614257225760,0,,,,,,4326144,3vil,136985027413147648,,,,,,4326144,3vil,,474583324396879884,474583323340046337,1411770665329098893,0,,false,,,,,,,,,2025-08-31T18:03:50.962000+00:00,false,19,danii,
1411773421972361288,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,DAAAAMN GZ MIKKEL,2025-08-31T18:03:33.280Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,73470b31d00fe1fdc1a558cb2a38a514,,,,,,,,,,,,,,,,,0,,,,,,64,AlmightyMikkel,764947739121287168,,,,,,64,almightymikkel,,474583324396879884,474583323340046337,1411769769996189739,0,,false,,,,,,,,,2025-08-31T18:03:33.280000+00:00,false,19,danii,
1395480106721345660,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,<:DeadKarlson:1313827326739353600>,2025-07-17T18:59:44.209Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-07-17T18:59:44.209000+00:00,false,0,danii,
1395480087083614339,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,idk i heard he died,2025-07-17T18:59:39.527Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,b9423428dd8b75b4de878f5289b3342c,,,,,,,,b2d251bb5f1a9cfb35e488cdbc4c8443,true,981247140519108658,ᎠᎬᏙ,,,,,,0,,,,,,0,JD✝,856779586902032384,,b2d251bb5f1a9cfb35e488cdbc4c8443,true,981247140519108658,ᎠᎬᏙ,0,vraith4857,,474583324396879884,474583323340046337,1395479669045723136,0,,false,,,,,,,,,2025-07-17T18:59:39.527000+00:00,false,19,danii,
1384262392648568852,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,im game,2025-06-16T20:04:32.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,73470b31d00fe1fdc1a558cb2a38a514,,,,,,,,,,,,,,,,,0,,,,,,64,AlmightyMikkel,764947739121287168,,,,,,64,almightymikkel,,474583324396879884,474583323340046337,1384262363821113346,0,,false,,,,,,,,,2025-06-16T20:04:32.759000+00:00,false,19,danii,
1384262315578228828,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,real dudi?,2025-06-16T20:04:14.384Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T20:04:14.384000+00:00,false,0,danii,
1384261074353651852,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,dont wanna talk about it,2025-06-16T19:59:18.453Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,05aedfa05372dd1700d0f9fe91aa9c8e,,,,,,,,,,,,,,,,,0,,,,,,0,Dita,452529332880015390,,,,,,0,dita,,474583324396879884,474583323340046337,1384261022809854053,0,,false,,,,,,,,,2025-06-16T19:59:18.453000+00:00,false,19,danii,
1384260999217025065,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,its giving cro fr,2025-06-16T19:59:00.539Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:59:00.539000+00:00,false,0,danii,
1384260961799639050,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,dont worry about it mikkel,2025-06-16T19:58:51.618Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:58:51.618000+00:00,false,0,danii,
1384260836176035900,,,,,,,,,,,,,,,56d44cab39024cb0a77338bcb09b8977,,,,,,0,,0,dani,224283992013275148,,0,danii,,474583324396879884,,🗣️,2025-06-16T19:58:21.667Z,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,2025-06-16T19:58:21.667000+00:00,false,0,danii,
